unit_id,cycle,temperature,vibration,pressure,rotation_speed,oil_quality,max_cycle,RUL
1,1,56.642029786129605,55.40781486363093,56.62005034832397,50.91468786283642,56.96426368082148,222,221
1,2,57.98505011533414,53.14562609683102,56.80663085456485,53.554136242987866,56.96187758558092,222,220
1,3,54.55902865624652,54.51040755513363,53.64027730927484,47.32334716610119,55.61350676471294,222,219
1,4,55.75069973971891,54.44269681947488,57.73045606035021,52.93937932258203,56.25590692326922,222,218
1,5,52.923885360280536,54.09683550028864,56.48054845297875,53.17422604688316,55.98090935472454,222,217
1,6,55.20529133883719,55.37376144530146,53.85438384991264,48.19865417039362,58.269309623594005,222,216
1,7,56.53829047988628,56.22777812598396,56.633029122424375,50.7990114361852,58.94331597697025,222,215
1,8,54.56132582850245,54.08945685190324,52.80423794664508,50.76084688404268,57.24693549475811,222,214
1,9,56.08129011845296,56.08247343196685,59.40264623079153,49.21236804412101,57.74037371692762,222,213
1,10,55.72946481549033,55.57700999088914,54.22757666355984,50.16320000540357,57.17489885164638,222,212
1,11,56.01002707235589,54.452605435429646,58.28774191562167,49.67101276661403,56.1959238631519,222,211
1,12,55.3437173231103,54.3787881921834,54.63933181537868,53.97289574540184,58.7147719349395,222,210
1,13,55.1971505358808,52.3969248504626,56.68683454152647,52.75628326287198,58.41027688920167,222,209
1,14,55.82889095285936,51.88677690489737,54.46505289467098,53.26903595595717,54.60356111749024,222,208
1,15,56.349207708787176,54.39852076653546,57.31468588394789,52.45381109727667,57.029429636542496,222,207
1,16,54.87586735106455,52.881050755198544,55.45082117675732,49.68798707956262,56.14357296559889,222,206
1,17,56.25402935171367,54.12034796936213,56.489273314447885,50.60570811957619,56.89353475799232,222,205
1,18,56.00161211256224,53.39356660803323,55.79302374002404,52.13813619087588,56.488431693066346,222,204
1,19,57.76911482454283,51.52947498963218,53.7037716274504,49.583130513164974,57.43939271473467,222,203
1,20,55.92526073783318,54.76573607421028,56.4892892032331,52.49872979666112,57.02990319142307,222,202
1,21,55.31022551421104,53.62644155533072,54.9581512587212,51.08231602649573,57.01462407273399,222,201
1,22,58.98335502517652,54.38789782224482,57.25987371725487,50.894806932169686,59.21978537138074,222,200
1,23,53.09116461838965,52.94818032091561,55.31603032304216,52.53837416299122,58.41264613134943,222,199
1,24,57.82818297979005,53.806796326101015,55.53160814625149,52.15388729253769,56.54001937243326,222,198
1,25,57.336397631297736,56.67165436263392,58.14709614788032,50.96226323863341,56.78233225226759,222,197
1,26,54.53528075869384,54.54687309269052,59.17013255161086,53.25958940189256,58.37394073425641,222,196
1,27,57.90234599437292,55.202274039735016,56.75071766894618,49.91654396236124,58.39328710444588,222,195
1,28,56.787515982545706,52.49636522929189,55.1139644317732,52.48024866852313,56.774201780098814,222,194
1,29,55.66971968814438,58.011890781067386,54.95470889490537,52.46486549683572,57.35190832620433,222,193
1,30,54.533622851258656,57.22002187574006,54.25973018599413,51.130424350119306,60.49693337061915,222,192
1,31,57.144054151088326,56.5275193558752,54.51995163217518,52.104135989091375,56.87153995770326,222,191
1,32,55.2620690287378,55.75388045495115,55.016476002784174,49.7591205852189,60.643014549235495,222,190
1,33,54.276462138570295,54.56271226293765,58.34137024606819,53.04334802010662,59.458561452463535,222,189
1,34,55.83907560291018,55.23327471575977,55.06627693383236,51.40213287556194,60.41824661945099,222,188
1,35,55.7026890868917,56.17326013927175,53.489167045353405,50.91824218580878,56.91438321302208,222,187
1,36,56.521768261763526,53.69034322279321,55.35590003087764,53.29934323913433,57.63383412035597,222,186
1,37,56.185006127574994,53.99931753631327,55.524768814371264,50.69347859578727,57.24240677467612,222,185
1,38,58.2791836514664,52.19613541054935,55.27422187804655,49.66212896570924,59.63657462818358,222,184
1,39,57.55461037523358,53.57677411700091,56.382516501690986,49.46536597605264,57.12601932980642,222,183
1,40,56.27949377670569,57.262024601906994,55.24771738139513,52.73547553687162,59.10627617341459,222,182
1,41,55.20683982224897,54.30517112953575,56.25754826612208,49.93262950205415,59.059617790839546,222,181
